2024-03-25 17:39:37 [INFO]: Time elapsed: 442.41 seconds, FPS: 12.43
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML  FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       48.3% 78.7% 34.9% 40.5%  91.4%  26  6  11   9 273  4249  23   183 36.4% 0.188   4  18   2
KITTI-13       29.7% 66.7% 19.1% 24.3%  84.6%  19  1   5  13   6   103   4     4 16.9% 0.290   1   3   0
KITTI-17       49.3% 80.6% 35.5% 42.0%  95.4%   9  0   6   3   5   142   3     8 38.8% 0.195   1   3   1
ETH-Bahnhof    43.4% 79.2% 29.8% 36.2%  96.1% 211  7  72 132  78  3428  36   280 34.1% 0.172  26  25  20
ETH-Sunnyday   32.6% 65.3% 21.8% 32.0%  96.0%  28  0   8  20  14   707   9    63 29.7% 0.168   1   8   0
PETS09-S2L1    38.4% 60.2% 28.2% 46.0%  98.5%  19  1  16   2  32  2455  33   176 44.6% 0.264   3  29   0
TUD-Campus     26.6% 79.4% 16.0% 20.1% 100.0%   8  1   1   6   0   135   2     3 18.9% 0.217   4   0   2
TUD-Stadtmitte 43.8% 76.2% 30.7% 40.2%  99.8%  10  0   6   4   1   691  12    40 39.1% 0.223   7   5   1
ADL-Rundle-6   60.2% 78.6% 48.8% 60.5%  97.4%  24  6  17   1  80  1980  20   153 58.5% 0.175  13  11   4
ADL-Rundle-8   49.9% 80.5% 36.2% 42.8%  95.3%  28  7  11  10 142  3868  22   358 40.4% 0.207   8  14   4
ETH-Pedcross2  23.0% 74.6% 13.6% 18.1%  99.8% 142  0  27 115   2  3784  41   171 17.2% 0.200  11  27   6
OVERALL        45.1% 75.9% 32.1% 40.5%  95.9% 524 29 180 315 633 21542 205  1439 38.2% 0.200  79 143  40
