2024-03-25 20:39:40 [INFO]: Time elapsed: 397.87 seconds, FPS: 13.82
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML  FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       39.1% 72.7% 26.8% 34.8%  94.3%  26  3  10  13 148  4621  44   394 32.1% 0.190   7  27   0
KITTI-13       38.9% 87.5% 25.0% 28.6% 100.0%  14  3   2   9   0    20   0     0 28.6% 0.316   1   0   1
KITTI-17       30.9% 56.9% 21.2% 33.6%  90.2%   7  0   5   2   5    91   3     6 27.7% 0.243   1   2   0
ETH-Bahnhof    26.6% 70.4% 16.4% 22.1%  94.9% 204  4  51 149  30  1956  51   164 18.9% 0.186  34  37  25
ETH-Sunnyday   21.1% 51.9% 13.2% 25.4% 100.0%  29  0   6  23   0   378  23    34 20.9% 0.164   3  14   2
PETS09-S2L1    22.1% 50.6% 14.2% 27.1%  96.5%  19  0  11   8  25  1882  73   279 23.3% 0.278  10  58   0
TUD-Campus     22.1% 59.3% 13.6% 22.9% 100.0%   8  0   3   5   0    91   0     5 22.9% 0.167   3   0   3
TUD-Stadtmitte 33.9% 85.1% 21.1% 24.8% 100.0%  10  0   5   5   0   672   2    80 24.6% 0.221   3   0   2
ADL-Rundle-6   56.3% 82.5% 42.7% 50.2%  96.9%  24  6  13   5  80  2494  20   200 48.2% 0.179  12  11   5
ADL-Rundle-8   50.5% 90.3% 35.1% 37.7%  97.1%  28  5  12  11  77  4227  14   482 36.3% 0.210   5   8   3
ETH-Pedcross2  19.5% 69.6% 11.3% 16.3%  99.8% 133  0  21 112   1  3085  44   197 15.1% 0.192  26  20  17
OVERALL        40.1% 77.7% 27.0% 33.5%  96.4% 502 21 139 342 366 19517 274  1841 31.3% 0.199 105 177  58
