2024-03-25 17:51:53 [INFO]: Time elapsed: 398.80 seconds, FPS: 13.79
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML  FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       38.6% 72.1% 26.3% 34.4%  94.4%  26  4   9  13 146  4661  78   193 31.3% 0.192   7  67   1
KITTI-13       32.8% 60.0% 22.6% 30.1%  80.0%  19  2   6  11   7    65   3     4 19.4% 0.280   1   3   1
KITTI-17       36.7% 60.5% 26.3% 40.6%  93.4%   9  1   6   2   5   104   5    12 34.9% 0.245   0   5   0
ETH-Bahnhof    29.4% 64.7% 19.0% 28.1%  95.3% 169  3  78  88  36  1873  68   137 24.1% 0.179  15  62   9
ETH-Sunnyday   28.9% 55.1% 19.6% 34.0%  95.7%  28  0  21   7   8   347  15    37 29.7% 0.165   3  13   1
PETS09-S2L1    16.0% 37.1% 10.2% 26.5%  96.2%  19  0  13   6  28  1963  77   171 22.5% 0.270   6  68   1
TUD-Campus     26.2% 80.0% 15.7% 17.6%  90.0%   7  0   4   3   1    42   1     1 13.7% 0.208   1   1   1
TUD-Stadtmitte 27.0% 66.8% 16.9% 25.3% 100.0%  10  0   5   5   0   542  10    32 24.0% 0.202   4   6   0
ADL-Rundle-6   58.2% 84.6% 44.3% 50.8%  96.9%  24  6  14   4  81  2465  29   150 48.6% 0.181  11  21   5
ADL-Rundle-8   45.1% 82.3% 31.1% 36.5%  96.6%  28  5  13  10  86  4307  43   234 34.6% 0.212   3  37   1
ETH-Pedcross2  19.3% 63.0% 11.4% 18.0%  99.8% 131  0  27 104   1  2922  47   131 16.7% 0.197  13  38   5
OVERALL        38.6% 73.7% 26.2% 34.2%  96.2% 470 21 196 253 399 19291 376  1102 31.5% 0.200  64 321  25
