2024-03-23 22:45:03 [INFO]: Time elapsed: 462.76 seconds, FPS: 11.89
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML   FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       50.3% 72.0% 38.6% 46.8%  87.3%  26  7  11   8  488  3797  18   178 39.7% 0.186   6  12   2
KITTI-13       44.1% 79.8% 30.5% 32.9%  86.2%  31  7   4  20   13   165   4     7 26.0% 0.281   1   3   0
KITTI-17       42.2% 76.5% 29.2% 35.7%  93.6%   9  0   7   2   12   315   5    16 32.2% 0.189   3   4   2
ETH-Bahnhof    48.8% 81.5% 34.9% 41.0%  95.7% 221 15  81 125  124  4024  42   336 38.5% 0.171  43  27  31
ETH-Sunnyday   36.8% 64.6% 25.7% 38.5%  96.8%  29  0   9  20   17   811  17    79 35.9% 0.151   3  13   1
PETS09-S2L1    44.4% 62.2% 34.6% 54.8%  98.5%  19  2  16   1   39  2073  31   173 53.2% 0.258   7  25   1
TUD-Campus     31.8% 73.2% 20.3% 27.7% 100.0%   8  0   4   4    0   146   0     7 27.7% 0.193   2   0   2
TUD-Stadtmitte 48.6% 77.0% 35.6% 46.2% 100.0%  10  2   4   4    0   622   6    19 45.7% 0.219   3   3   2
ADL-Rundle-6   61.4% 76.3% 51.4% 65.2%  96.9%  24  8  15   1  104  1741  20   135 62.8% 0.180  15  10   5
ADL-Rundle-8   57.2% 86.1% 42.9% 46.9%  94.2%  28  8  11   9  195  3596  18   318 43.8% 0.205   7  12   3
ETH-Pedcross2  28.6% 73.3% 17.8% 24.1%  99.3% 143  1  30 112    9  4322  44   225 23.2% 0.206  19  36  12
OVERALL        48.8% 75.6% 36.1% 45.2%  94.7% 548 50 192 306 1001 21612 205  1493 42.1% 0.198 109 145  61
