2024-03-24 15:57:32 [INFO]: Time elapsed: 491.50 seconds, FPS: 11.19
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML   FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       52.9% 74.2% 41.1% 48.1%  86.9%  26  7  12   7  518  3705  15   161 40.7% 0.188   4  11   1
KITTI-13       45.7% 78.1% 32.3% 34.8%  84.4%  27  7   2  18   20   202   2     4 27.7% 0.287   0   2   0
KITTI-17       61.9% 92.7% 46.5% 48.1%  95.8%   9  0   6   3   11   268   2     8 45.5% 0.179   2   2   2
ETH-Bahnhof    58.4% 80.3% 45.9% 54.8%  96.0% 223 49  75  99  173  3380  20   157 52.2% 0.171  50  12  42
ETH-Sunnyday   61.2% 95.4% 45.0% 46.6%  98.6%  30  3   9  18   10   832   4    40 45.7% 0.141   0   4   0
PETS09-S2L1    45.8% 63.2% 35.8% 55.8%  98.4%  19  3  14   2   41  2043  22   116 54.5% 0.258   2  19   0
TUD-Campus     40.5% 78.0% 27.4% 35.0% 100.0%   8  0   5   3    0   152   1     7 34.6% 0.175   3   1   3
TUD-Stadtmitte 48.3% 76.3% 35.3% 46.3% 100.0%  10  1   5   4    0   621   4    13 45.9% 0.217   3   4   3
ADL-Rundle-6   64.5% 78.5% 54.8% 67.7%  97.0%  24 13  10   1  106  1616  16   128 65.3% 0.176  11  11   6
ADL-Rundle-8   59.8% 81.4% 47.2% 54.3%  93.6%  28  8  12   8  251  3094  16   264 50.4% 0.205   5  11   3
ETH-Pedcross2  36.1% 84.1% 23.0% 27.3%  99.8% 146  1  40 105    3  4280  40   203 26.5% 0.208  13  32   7
OVERALL        54.0% 77.8% 41.4% 50.4%  94.8% 550 92 190 268 1133 20193 142  1101 47.2% 0.195  93 109  67
