2024-03-23 22:23:20 [INFO]: Time elapsed: 397.76 seconds, FPS: 14.28
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML  FP    FN IDs    FM  MOTA  MOTP IDt IDa IDm
Venice-2       38.1% 60.1% 27.9% 40.6%  87.6%  26  4  10  12 410  4217  94   254 33.6% 0.192   3  81   0
KITTI-13       35.6% 68.8% 24.0% 29.0%  83.1%  31  3   8  20  13   157   6     7 20.4% 0.231   1   6   1
KITTI-17       38.0% 67.5% 26.5% 37.8%  96.5%   9  0   7   2   4   181   6    23 34.4% 0.233   2   5   1
ETH-Bahnhof    32.9% 66.1% 21.9% 31.4%  94.8% 195  1  93 101  66  2644  81   200 27.6% 0.182  17  75  11
ETH-Sunnyday   27.6% 49.9% 19.1% 37.4%  97.7%  29  0  21   8   8   571  27    56 33.6% 0.156   2  23   0
PETS09-S2L1    17.1% 33.7% 11.4% 32.6%  96.1%  19  0  14   5  47  2378  82   253 29.0% 0.267   4  77   1
TUD-Campus     32.8% 87.5% 20.2% 22.1%  95.8%   8  0   4   4   1    81   2     3 19.2% 0.241   1   2   1
TUD-Stadtmitte 35.0% 74.0% 22.9% 31.0% 100.0%  10  0   8   2   0   644   5    47 30.4% 0.221   2   3   0
ADL-Rundle-6   55.6% 78.9% 43.0% 52.7%  96.8%  24  5  16   3  87  2367  38   164 50.2% 0.184  17  24   5
ADL-Rundle-8   47.9% 78.2% 34.5% 42.1%  95.3%  28  5  15   8 140  3926  43   285 39.4% 0.214   2  34   2
ETH-Pedcross2  24.4% 67.3% 14.9% 22.0%  99.4% 143  0  38 105   7  3914  83   219 20.2% 0.206  28  61  10
