2024-03-24 14:52:40 [INFO]: Time elapsed: 404.68 seconds, FPS: 13.59
                IDF1   IDP   IDR  Rcll   Prcn  GT MT  PT  ML   FP    FN IDs   FM  MOTA  MOTP IDt IDa IDm
Venice-2       58.1% 64.9% 52.6% 57.8%  71.3%  26 10  10   6 1659  3014  12  131 34.4% 0.188   3   8   0
KITTI-13       54.9% 79.2% 42.0% 42.1%  79.5%  36  3  14  19   76   405   1   17 31.1% 0.232   1   0   0
KITTI-17       60.3% 88.3% 45.8% 50.6%  97.7%   9  0   7   2    9   367   5   38 48.7% 0.212   3   3   1
ETH-Bahnhof    55.9% 75.9% 44.3% 54.3%  93.3% 223 51  57 115  301  3498  13   96 50.2% 0.174  46   6  39
ETH-Sunnyday   72.3% 98.9% 57.0% 57.1%  99.0%  30  3  11  16   11   816   0   19 56.5% 0.140   1   0   1
PETS09-S2L1    40.0% 63.0% 29.3% 45.4%  97.6%  19  2  12   5   52  2496  28  142 43.7% 0.257   4  23   0
TUD-Campus     39.1% 84.8% 25.4% 29.6%  98.9%   8  0   6   2    1   216   0    5 29.3% 0.189   1   0   1
TUD-Stadtmitte 48.4% 90.1% 33.0% 36.7% 100.0%  10  0   6   4    0   732   1   21 36.6% 0.242   2   1   2
ADL-Rundle-6   54.9% 76.9% 42.7% 53.6%  96.7%  24  6  16   2   91  2322  20   98 51.4% 0.187  11  13   4
ADL-Rundle-8   63.5% 82.3% 51.7% 59.7%  95.1%  28 10  11   7  209  2731  11  194 56.5% 0.209   3  11   3
ETH-Pedcross2  40.6% 81.8% 27.0% 32.6%  98.8% 150  7  39 104   26  4400  19  133 31.9% 0.210  10  17   8
OVERALL        54.4% 75.5% 42.5% 50.6%  89.8% 563 92 189 282 2435 20997 110  894 44.6% 0.198  85  82  59
